date,country_code,country_name,total_cases,total_deaths
2020-01-21,ABW,Aruba,0,0
2020-01-22,ABW,Aruba,0,0
2020-01-23,ABW,Aruba,0,0
2020-01-24,ABW,Aruba,0,0
2020-01-25,ABW,Aruba,0,0
2020-01-26,ABW,Aruba,0,0
2020-01-27,ABW,Aruba,0,0
2020-01-28,ABW,Aruba,0,0
2020-01-29,ABW,Aruba,0,0
2020-01-30,ABW,Aruba,0,0
2020-01-31,ABW,Aruba,0,0
2020-02-01,ABW,Aruba,0,0
2020-02-02,ABW,Aruba,0,0
2020-02-03,ABW,Aruba,0,0
2020-02-04,ABW,Aruba,0,0
2020-02-05,ABW,Aruba,0,0
2020-02-06,ABW,Aruba,0,0
2020-02-07,ABW,Aruba,0,0
2020-02-08,ABW,Aruba,0,0
2020-02-09,ABW,Aruba,0,0
2020-02-10,ABW,Aruba,0,0
2020-02-11,ABW,Aruba,0,0
2020-02-12,ABW,Aruba,0,0
2020-02-13,ABW,Aruba,0,0
2020-02-14,ABW,Aruba,0,0
2020-02-15,ABW,Aruba,0,0
2020-02-16,ABW,Aruba,0,0
2020-02-17,ABW,Aruba,0,0
2020-02-18,ABW,Aruba,0,0
2020-02-19,ABW,Aruba,0,0
2020-02-20,ABW,Aruba,0,0
2020-02-21,ABW,Aruba,0,0
2020-02-22,ABW,Aruba,0,0
2020-02-23,ABW,Aruba,0,0
2020-02-24,ABW,Aruba,0,0
2020-02-25,ABW,Aruba,0,0
2020-02-26,ABW,Aruba,0,0
2020-02-27,ABW,Aruba,0,0
2020-02-28,ABW,Aruba,0,0
2020-02-29,ABW,Aruba,0,0
2020-03-01,ABW,Aruba,0,0
2020-03-02,ABW,Aruba,0,0
2020-03-03,ABW,Aruba,0,0
2020-03-04,ABW,Aruba,0,0
2020-03-05,ABW,Aruba,0,0
2020-03-06,ABW,Aruba,0,0
2020-03-07,ABW,Aruba,0,0
2020-03-08,ABW,Aruba,0,0
2020-03-09,ABW,Aruba,0,0
2020-03-10,ABW,Aruba,0,0
2020-03-11,ABW,Aruba,0,0
2020-03-12,ABW,Aruba,0,0
2020-03-13,ABW,Aruba,0,0
2020-03-14,ABW,Aruba,0,0
2020-03-15,ABW,Aruba,0,0
2020-03-16,ABW,Aruba,0,0
2020-03-17,ABW,Aruba,2,0
2020-01-21,AFG,Afghanistan,0,0
2020-01-22,AFG,Afghanistan,0,0
2020-01-23,AFG,Afghanistan,0,0
2020-01-24,AFG,Afghanistan,0,0
2020-01-25,AFG,Afghanistan,0,0
2020-01-26,AFG,Afghanistan,0,0
2020-01-27,AFG,Afghanistan,0,0
2020-01-28,AFG,Afghanistan,0,0
2020-01-29,AFG,Afghanistan,0,0
2020-01-30,AFG,Afghanistan,0,0
2020-01-31,AFG,Afghanistan,0,0
2020-02-01,AFG,Afghanistan,0,0
2020-02-02,AFG,Afghanistan,0,0
2020-02-03,AFG,Afghanistan,0,0
2020-02-04,AFG,Afghanistan,0,0
2020-02-05,AFG,Afghanistan,0,0
2020-02-06,AFG,Afghanistan,0,0
2020-02-07,AFG,Afghanistan,0,0
2020-02-08,AFG,Afghanistan,0,0
2020-02-09,AFG,Afghanistan,0,0
2020-02-10,AFG,Afghanistan,0,0
2020-02-11,AFG,Afghanistan,0,0
2020-02-12,AFG,Afghanistan,0,0
2020-02-13,AFG,Afghanistan,0,0
2020-02-14,AFG,Afghanistan,0,0
2020-02-15,AFG,Afghanistan,0,0
2020-02-16,AFG,Afghanistan,0,0
2020-02-17,AFG,Afghanistan,0,0
2020-02-18,AFG,Afghanistan,0,0
2020-02-19,AFG,Afghanistan,0,0
2020-02-20,AFG,Afghanistan,0,0
2020-02-21,AFG,Afghanistan,0,0
2020-02-22,AFG,Afghanistan,0,0
2020-02-23,AFG,Afghanistan,0,0
2020-02-24,AFG,Afghanistan,0,0
2020-02-25,AFG,Afghanistan,1,0
2020-02-26,AFG,Afghanistan,1,0
2020-02-27,AFG,Afghanistan,1,0
2020-02-28,AFG,Afghanistan,1,0
2020-02-29,AFG,Afghanistan,1,0
2020-03-01,AFG,Afghanistan,1,0
2020-03-02,AFG,Afghanistan,1,0
2020-03-03,AFG,Afghanistan,1,0
2020-03-04,AFG,Afghanistan,1,0
2020-03-05,AFG,Afghanistan,1,0
2020-03-06,AFG,Afghanistan,1,0
2020-03-07,AFG,Afghanistan,1,0
2020-03-08,AFG,Afghanistan,4,0
2020-03-09,AFG,Afghanistan,4,0
2020-03-10,AFG,Afghanistan,4,0
2020-03-11,AFG,Afghanistan,4,0
2020-03-12,AFG,Afghanistan,7,0
2020-03-13,AFG,Afghanistan,7,0
2020-03-14,AFG,Afghanistan,7,0
2020-03-15,AFG,Afghanistan,10,0
2020-03-16,AFG,Afghanistan,16,0
2020-03-17,AFG,Afghanistan,21,0
2020-01-21,ALB,Albania,0,0
2020-01-22,ALB,Albania,0,0
2020-01-23,ALB,Albania,0,0
2020-01-24,ALB,Albania,0,0
2020-01-25,ALB,Albania,0,0
2020-01-26,ALB,Albania,0,0
2020-01-27,ALB,Albania,0,0
2020-01-28,ALB,Albania,0,0
2020-01-29,ALB,Albania,0,0
2020-01-30,ALB,Albania,0,0
2020-01-31,ALB,Albania,0,0
2020-02-01,ALB,Albania,0,0
2020-02-02,ALB,Albania,0,0
2020-02-03,ALB,Albania,0,0
2020-02-04,ALB,Albania,0,0
2020-02-05,ALB,Albania,0,0
